Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS_AF,LPTIM1/TIM2/5/15/16/17,I2C3/TIM1/2/3/4/5/8/15/20/GPCOMP1,QUADSPI/I2C3/4/SAI1/USB/TIM8/15/20/GPCOMP3/TSC,I2C1/2/3/4/TIM1/8/16/17,QUADSPI/SPI1/2/3/4/I2S2/3/I2C4/UART4/5/TIM8/Infrared,QUADSPI/SPI2/3/I2S2/3/TIM1/5/8/20/Infrared,USART1/2/3/CAN/GPCOMP5/6/7,I2C3/4/UART4/5/LPUART1/GPCOMP1/2/3/4/5/6/7,CAN/TIM1/8/15/CAN1/2,QUADSPI/TIM2/3/4/8/17,LPTIM1/TIM1/8/CAN1/3,SDIO/FMC/LPUART1/SAI1TIM1,SAI1/OPAMP2,UART4/5/SAI1/TIM2/15/UCPD,EVENT,
PortA,PA0,,TIM2_CH1,TIM5_CH1,,,,,USART2_CTS,COMP1_OUT,TIM8_BKIN,TIM8_ETR,,,,TIM2_ETR,EVENTOUT
PortA,PA1,RTC_REFIN,TIM2_CH2,TIM5_CH2,,,,,USART2_RTS_DE,,TIM15_CH1N,,,,,,EVENTOUT
PortA,PA2,,TIM2_CH3,TIM5_CH3,,,,,USART2_TX,COMP2_OUT,TIM15_CH1,QUADSPI_BK1_NCS,,LPUART1_TX,,UCPD1_FRSTX,EVENTOUT
PortA,PA3,,TIM2_CH4,TIM5_CH4,SAI1_CK1,,,,USART2_RX,,TIM15_CH2,QUADSPI_CLK,,LPUART1_RX,SAI1_MCLK_A,,EVENTOUT
PortA,PA4,,,TIM3_CH2,,,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,,,,,,SAI1_FS_B,,EVENTOUT
PortA,PA5,,TIM2_CH1,TIM2_ETR,,,SPI1_SCK,,,,,,,,,UCPD1_FRSTX,EVENTOUT
PortA,PA6,,TIM16_CH1,TIM3_CH1,,TIM8_BKIN,SPI1_MISO,TIM1_BKIN,,COMP1_OUT,,QUADSPI_BK1_IO3,,LPUART1_CTS,,,EVENTOUT
PortA,PA7,,TIM17_CH1,TIM3_CH2,,TIM8_CH1N,SPI1_MOSI,TIM1_CH1N,,COMP2_OUT,,QUADSPI_BK1_IO2,,,,UCPD1_FRSTX,EVENTOUT
PortA,PA8,MCO,,,,I2C2_SMBA,I2S2_MCK,TIM1_CH1,USART1_CK,COMP7_OUT,,TIM4_ETR,CAN3_RX,SAI1_CK2,,SAI1_SCK_A,EVENTOUT
PortA,PA9,,,I2C3_SMBA,,I2C2_SCL,I2S3_MCK,TIM1_CH2,USART1_TX,COMP5_OUT,TIM15_BKIN,TIM2_CH3,CAN1_RXFD,,,SAI1_FS_A,EVENTOUT
PortA,PA10,,TIM17_BKIN,I2C3_SCL,USB_CRS_SYNC,I2C2_SDA,SPI2_MISO,TIM1_CH3,USART1_RX,COMP6_OUT,CAN1_TXFD,TIM2_CH4,TIM8_BKIN,SAI1_D1,,SAI1_SD_A,EVENTOUT
PortA,PA11,,,,,,SPI2_MOSI/I2S2_SD,TIM1_CH1N,USART1_CTS,COMP1_OUT,CAN1_RX,TIM4_CH1,TIM1_CH4,TIM1_BKIN2,,,EVENTOUT
PortA,PA12,,TIM16_CH1,,,,I2SCKIN,TIM1_CH2N,USART1_RTS_DE,COMP2_OUT,CAN1_TX,TIM4_CH2,TIM1_ETR,,,,EVENTOUT
