# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0        ,AF1              ,AF2     ,AF3                           ,AF4                  ,AF5                    ,AF6                        ,AF7                                            ,AF8                                 ,AF9                                ,AF10                               ,AF11                           ,AF12                      ,AF13             ,AF14      ,AF15,ADC
,    ,RCC/RTC/SYS,I2C4/TIM1/2/UART5,TIM3/4/5,CEC/DFSDM1/LPTIM1/TIM8/9/10/11,CEC/I2C1/2/3/4/USART1,I2S1/2/3/SPI1/2/3/4/5/6,DFSDM1/I2S3/SAI1/SPI3/UART4,DFSDM1/I2S2/3/SPDIFRX/SPI2/3/6/UART5/USART1/2/3,SAI2/SPDIFRX/SPI6/UART4/5/7/8/USART6,CAN1/2/FMC/LTDC/QUADSPI/TIM12/13/14,DFSDM1/LTDC/QUADSPI/SAI2/SDMMC2/USB,CAN3/ETH/I2C4/SDMMC2           ,FMC/MDIOS/SDMMC1/UART7/USB,DCMI/DSIHOST/LTDC,LTDC      ,    ,ADC
PortA,PA0 ,           ,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR                      ,                     ,                       ,                           ,USART2_CTS                                     ,UART4_TX                            ,                                   ,SAI2_SD_B                          ,ETH_MII_CRS                    ,                          ,                 ,          ,    ,ADC123_IN0
PortA,PA1 ,           ,TIM2_CH2         ,TIM5_CH2,                              ,                     ,                       ,                           ,USART2_DE/USART2_RTS                           ,UART4_RX                            ,QUADSPI_BK1_IO3                    ,SAI2_MCLK_B                        ,ETH_RMII_REF_CLK/ETH_MII_RX_CLK,                          ,                 ,LTDC_R2   ,    ,ADC123_IN1
PortA,PA2 ,           ,TIM2_CH3         ,TIM5_CH3,TIM9_CH1                      ,                     ,                       ,                           ,USART2_TX                                      ,SAI2_SCK_B                          ,                                   ,                                   ,ETH_MDIO                       ,MDIOS_MDIO                ,                 ,LTDC_R1   ,    ,ADC123_IN2
PortA,PA3 ,           ,TIM2_CH4         ,TIM5_CH4,TIM9_CH2                      ,                     ,                       ,                           ,USART2_RX                                      ,                                    ,LTDC_B2                            ,USB_OTG_HS_ULPI_D0                 ,ETH_MII_COL                    ,                          ,                 ,LTDC_B5   ,    ,ADC123_IN3
PortA,PA4 ,           ,                 ,        ,                              ,                     ,I2S1_WS/SPI1_NSS       ,I2S3_WS/SPI3_NSS           ,USART2_CK                                      ,SPI6_NSS                            ,                                   ,                                   ,                               ,USB_OTG_HS_SOF            ,DCMI_HSYNC       ,LTDC_VSYNC,    ,ADC12_IN4
PortA,PA5 ,           ,TIM2_CH1/TIM2_ETR,        ,TIM8_CH1N                     ,                     ,I2S1_CK/SPI1_SCK       ,                           ,                                               ,SPI6_SCK                            ,                                   ,USB_OTG_HS_ULPI_CK                 ,                               ,                          ,                 ,LTDC_R4   ,    ,ADC12_IN5
PortA,PA6 ,           ,TIM1_BKIN        ,TIM3_CH1,TIM8_BKIN                     ,                     ,SPI1_MISO              ,                           ,                                               ,SPI6_MISO                           ,TIM13_CH1                          ,                                   ,                               ,MDIOS_MDC                 ,DCMI_PIXCLK      ,LTDC_G2   ,    ,ADC12_IN6
PortA,PA7 ,           ,TIM1_CH1N        ,TIM3_CH2,TIM8_CH1N                     ,                     ,I2S1_SD/SPI1_MOSI      ,                           ,                                               ,SPI6_MOSI                           ,TIM14_CH1                          ,                                   ,ETH_RMII_CRS_DV/ETH_MII_RX_DV  ,FMC_SDNWE                 ,                 ,          ,    ,ADC12_IN7
PortA,PA8 ,RCC_MCO_1  ,TIM1_CH1         ,        ,TIM8_BKIN2                    ,I2C3_SCL             ,                       ,                           ,USART1_CK                                      ,                                    ,                                   ,USB_OTG_FS_SOF                     ,CAN3_RX                        ,UART7_RX                  ,LTDC_B3          ,LTDC_R6   ,    ,
