CN9_D0,PA3
CN9_D1,PA2
CN9_D2,PA10
CN9_D3,PB3
CN9_D4,PB5
CN9_D5,PB4
CN9_D6,PB10
CN9_D7,PA8
CN5_D8,PA9
CN5_D9,PC7
CN5_D10,PB6
CN5_D11,PA7
CN5_D12,PA6
CN5_D13,PA5
CN5_D14,PB9
CN5_D15,PB8
CN8_A0,PA0
CN8_A1,PA1
CN8_A2,PA4
CN8_A3,PB0
CN8_A4,PC1
CN8_A5,PC0
CN9_RX,PA3
CN9_TX,PA2
CN5_SCL,PB8
CN5_SDA,PB9
CN5_SCK,PA5
CN5_MISO,PA6
CN5_MOSI,PA7
CN5_CS,PB6
CN7_28,PA0
CN7_30,PA1
CN10_35,PA2
CN10_37,PA3
CN7_32,PA4
CN10_11,PA5
CN10_13,PA6
CN10_15,PA7
CN10_23,PA8
CN10_21,PA9
CN10_33,PA10
CN10_14,PA11
CN10_12,PA12
CN7_13,PA13
CN7_15,PA14
CN7_17,PA15
CN7_34,PB0
CN10_24,PB1
CN10_22,PB2
CN10_31,PB3
CN10_27,PB4
CN10_29,PB5
CN10_17,PB6
CN7_21,PB7
CN10_3,PB8
CN10_5,PB9
CN10_25,PB10
CN10_18,PB11
CN10_16,PB12
CN10_30,PB13
CN10_28,PB14
CN10_26,PB15
CN7_38,PC0
CN7_36,PC1
CN7_35,PC2
CN7_37,PC3
CN10_34,PC4
CN10_6,PC5
CN10_4,PC6
CN10_19,PC7
CN10_2,PC8
CN10_1,PC9
CN7_1,PC10
CN7_2,PC11
CN7_3,PC12
CN7_23,PC13
CN7_25,PC14
CN7_27,PC15
CN7_4,PD2
CN7_29,PH0
CN7_31,PH1
BOOT0,PH3
SWDIO,PA13
SWCLK,PA14
USER_B1,PC13
LED_GREEN,PA5
PA0,PA0
PA1,PA1
PA2,PA2
PA3,PA3
PA4,PA4
PA5,PA5
PA6,PA6
PA7,PA7
PA8,PA8
PA9,PA9
PA10,PA10
PA11,PA11
PA12,PA12
PA13,PA13
PA14,PA14
PA15,PA15
PB0,PB0
PB1,PB1
PB2,PB2
PB3,PB3
PB4,PB4
PB5,PB5
PB6,PB6
PB7,PB7
PB8,PB8
PB9,PB9
PB10,PB10
PB11,PB11
PB12,PB12
PB13,PB13
PB14,PB14
PB15,PB15
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PC4,PC4
PC5,PC5
PC6,PC6
PC7,PC7
PC8,PC8
PC9,PC9
PC10,PC10
PC11,PC11
PC12,PC12
PC13,PC13
PC14,PC14
PC15,PC15
PD2,PD2
PH0,PH0
PH1,PH1
PH3,PH3
