"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","127","ADC_AVCC0","","","","","",""
"AVSS0","128","ADC_AVSS0","","","","","",""
"P000","140","","","","Disabled","","","ADC0: AN00
CMP0: IVCMP2
IRQ0: IRQ06"
"P001","139","","","","Disabled","","","ADC0: AN01
CMP0: IVCMP2
IRQ0: IRQ07"
"P002","138","","","","Disabled","","","ADC0: AN02
CMP0: IVCMP2
IRQ0: IRQ08"
"P003","137","","","","Disabled","","","ADC0: AN07"
"P004","136","ADC1_AN00","","","Analog mode","","","ADC1: AN00
CMP0: IVCMP2
IRQ0: IRQ09"
"P005","135","","","","Disabled","","","ADC1: AN01
CMP0: IVCMP2
IRQ0: IRQ10"
"P006","134","","","","Disabled","","","ADC1: AN02
CMP0: IVCMP2
IRQ0: IRQ11"
"P007","133","","","","Disabled","","","ADC1: AN07"
"P008","132","","","","Disabled","","","ADC0: AN03
IRQ0: IRQ12"
"P009","131","","","","Disabled","","","ADC0: AN04
IRQ0: IRQ13"
"P014","124","","","","Disabled","","","ADC0: AN05
ADC1: AN05
CMP0: IVREF3
DAC120: DA"
"P015","123","","","","Disabled","","","ADC0: AN06
ADC1: AN06
CMP0: IVCMP1
DAC121: DA
IRQ0: IRQ13"
"P100","108","SPI0_MISO","Low","None","Peripheral mode","CMOS","None","AGT0: AGTIO
BUS0: D0_DQ0
GPT5: GTIOCB
IIC1: SCL
IRQ0: IRQ02
KINT0: KRM0
POEG0: GTETRG
SCI0: RXD_MISO
SCI0: SCL
SCI1: SCK
SPI0: MISO"
"P101","107","SPI0_MOSI","Low","None","Peripheral mode","CMOS","None","AGT0: AGTEE
BUS0: D1_DQ1
GPT5: GTIOCA
IIC1: SDA
IRQ0: IRQ01
KINT0: KRM1
POEG1: GTETRG
SCI0: SDA
SCI0: TXD_MOSI
SCI1: CTS_RTS_SS
SPI0: MOSI"
"P102","106","SPI0_RSPCK","Low","","Peripheral mode","CMOS","None","ADC0: ADTRG
AGT0: AGTO
BUS0: D2_DQ2
CAN0: CRX
GPT2: GTIOCB
KINT0: KRM2
OPS0: GTOWLO
SCI0: SCK
SPI0: RSPCK"
"P103","105","SPI0_SSL0","Low","","Peripheral mode","CMOS","None","BUS0: D3_DQ3
CAN0: CTX
GPT2: GTIOCA
KINT0: KRM3
OPS0: GTOWUP
SCI0: CTS_RTS_SS
SPI0: SSL0"
"P104","104","","","","Disabled","","","BUS0: D4_DQ4
GPT1: GTIOCB
IRQ0: IRQ01
KINT0: KRM4
POEG1: GTETRG
SCI8: RXD_MISO
SCI8: SCL
SPI0: SSL1"
"P105","103","GPIO","","IRQ0","Input mode","","None","BUS0: D5_DQ5
GPT1: GTIOCA
IRQ0: IRQ00
KINT0: KRM5
POEG0: GTETRG
SCI8: SDA
SCI8: TXD_MOSI
SPI0: SSL2"
"P106","102","GPIO","Low","","Output mode (Initial Low)","CMOS","None","AGT0: AGTOB
BUS0: D6_DQ6
GPT8: GTIOCB
KINT0: KRM6
SCI8: SCK
SPI0: SSL3"
"P107","101","","","","Disabled","","","AGT0: AGTOA
BUS0: D7_DQ7
GPT8: GTIOCA
KINT0: KRM7
SCI8: CTS_RTS_SS"
"P108","73","DEBUG0_TMS","Low","","Peripheral mode","CMOS","None","DEBUG0: SWDIO
DEBUG0: TMS
GPT0: GTIOCB
OPS0: GTOULO
SCI9: CTS_RTS_SS
SPI1: SSL0"
"P109","74","DEBUG0_TDO","Low","","Peripheral mode","CMOS","None","CAN1: CTX
CGC0: CLKOUT
DEBUG0: SWO
DEBUG0: TDO
GPT1: GTIOCA
OPS0: GTOVUP
SCI9: SDA
SCI9: TXD_MOSI
SPI1: MOSI"
"P110","75","DEBUG0_TDI","Low","None","Peripheral mode","CMOS","None","CAN1: CRX
CMP0: VCOUT
DEBUG0: TDI
GPT1: GTIOCB
IRQ0: IRQ03
OPS0: GTOVLO
SCI2: CTS_RTS_SS
SCI9: RXD_MISO
SCI9: SCL
SPI1: MISO"
"P111","76","","","","Disabled","","","BUS0: A05
GPT3: GTIOCA
IRQ0: IRQ04
SCI2: SCK
SCI9: SCK
SPI1: RSPCK"
"P112","77","","","","Disabled","","","BUS0: A04
GPT3: GTIOCB
SCI1: SCK
SCI2: SDA
SCI2: TXD_MOSI
SPI1: SSL0
SSI0: SSISCK"
"P113","78","","","","Disabled","","","BUS0: A03
GPT2: GTIOCA
SCI2: RXD_MISO
SCI2: SCL
SSI0: SSIWS"
"P114","79","","","","Disabled","","","BUS0: A02
GPT2: GTIOCB
SSI0: SSIRXD"
"P115","80","","","","Disabled","","","BUS0: A01
GPT4: GTIOCA
SSI0: SSITXD"
"P200","57","","","","Disabled","","","IRQ0: NMI"
"P201","56","","","","Disabled","","",""
"P202","46","","","","Disabled","","","BUS0: WR1_BC1
CAN0: CRX
ETHERC0: ERXD2
GPT5: GTIOCB
IRQ0: IRQ03
SCI2: SCK
SCI9: RXD_MISO
SCI9: SCL
SDHI0: DAT6
SPI1: MISO"
"P203","45","","","","Disabled","","","BUS0: A19
CAN0: CTX
CTSU0: TSCAP
ETHERC0: COL
GPT5: GTIOCA
IRQ0: IRQ02
SCI2: CTS_RTS_SS
SCI9: SDA
SCI9: TXD_MOSI
SDHI0: DAT5
SPI1: MOSI"
"P204","44","","","","Disabled","","","AGT1: AGTIO
BUS0: A18
CAC0: CACREF
CTSU0: TS00
ETHERC0: RX_DV
GPT4: GTIOCB
IIC0: SCL
OPS0: GTIW
SCI4: SCK
SCI9: SCK
SDHI0: DAT4
SPI1: RSPCK
SSI0: SSISCK
USBFS0: OVRCURB"
"P205","43","CTSU0_TSCAP","Low","None","Peripheral mode","CMOS","None","AGT1: AGTO
BUS0: A16
CGC0: CLKOUT
CTSU0: TSCAP
ETHERC0: WOL
ETHERC0: WOL
GPT4: GTIOCA
IIC1: SCL
IRQ0: IRQ01
OPS0: GTIV
SCI4: SDA
SCI4: TXD_MOSI
SCI9: CTS_RTS_SS
SDHI0: DAT3
SPI1: SSL0
SSI0: SSIWS
USBFS0: OVRCURA"
